Date,Open,High,Low,Close,Volume
14-Dec-04,85.41,89.32,84.72,89.26,-
15-Dec-04,88.91,90.25,88.24,89.8,-
16-Dec-04,88.52,90.15,87.89,88.15,-
17-Dec-04,88.29,90.16,88.19,89.95,-
20-Dec-04,90.91,94.14,90.84,92.42,-
21-Dec-04,93.05,93.85,91.61,91.78,-
22-Dec-04,91.86,93.33,91.41,93.06,-
23-Dec-04,93.63,94.21,92.91,93.86,-
27-Dec-04,94.48,96.55,94.46,95.86,-
28-Dec-04,95.96,96.68,95.41,96.28,-
29-Dec-04,95.89,96.66,95.79,96.35,-
30-Dec-04,96.39,99.02,95.83,98.7,-
31-Dec-04,99.52,99.84,96.18,96.3,-
03-Jan-05,98.6,101.72,97.63,101.25,-
04-Jan-05,100.56,101.36,96.64,97.15,-
05-Jan-05,96.63,98.35,96.02,96.66,-
06-Jan-05,97.53,97.85,93.77,94.18,-
07-Jan-05,95.22,97.03,94.3,96.83,-
10-Jan-05,97.15,98.95,95.82,97.43,-
11-Jan-05,97.71,98.76,96.49,96.67,-
12-Jan-05,97.07,97.87,95.15,97.59,-
13-Jan-05,97.59,98.6,96.93,97.57,-
14-Jan-05,97.9,99.9,96.97,99.89,-
18-Jan-05,100.34,102.41,99.23,101.85,-
19-Jan-05,102.22,102.55,98.26,98.55,-
20-Jan-05,96.19,98.03,95.9,96.86,-
21-Jan-05,97.12,97.58,93.97,94.05,-
24-Jan-05,94.25,94.57,90.07,90.27,-
25-Jan-05,91.01,91.03,88.06,88.47,-
26-Jan-05,89.55,94.61,89.49,94.53,-
27-Jan-05,94.29,94.34,92.51,93.95,-
28-Jan-05,94.91,97.25,93.08,95.07,-
31-Jan-05,96.75,98.08,95.76,97.71,-
01-Feb-05,97.09,101.77,95.22,95.85,-
02-Feb-05,107.67,108.29,101.73,102.88,-
03-Feb-05,102.89,106.58,102.8,105.32,-
04-Feb-05,103.13,103.77,101.2,102.08,-
07-Feb-05,102.53,103.1,97.66,97.92,-
08-Feb-05,98.38,99.91,97.17,99.22,-
09-Feb-05,100.28,100.7,94.64,95.69,-
10-Feb-05,95.89,96.01,92.53,93.9,-
11-Feb-05,93.24,96.06,92.94,93.61,-
14-Feb-05,91.33,96.44,90.41,96.4,-
15-Feb-05,96.71,99.82,96.44,97.52,-
16-Feb-05,97.25,99.57,97.05,99.11,-
17-Feb-05,98.82,99.78,98.31,98.85,-
18-Feb-05,99.16,99.32,98.23,98.88,-
22-Feb-05,98.15,99.35,95.1,95.59,-
23-Feb-05,96.55,97.14,94.24,96.88,-
24-Feb-05,91.59,94.83,91.02,94.35,-
25-Feb-05,94.48,94.87,92.66,92.84,-
28-Feb-05,92.91,94.84,92.83,93.9,-
01-Mar-05,94.55,94.78,92.6,92.94,-
02-Mar-05,92.88,93.74,92.09,92.5,-
03-Mar-05,92.97,93.78,92.06,93.41,-
04-Mar-05,93.26,93.53,92.44,92.86,-
07-Mar-05,93.8,94.71,93.42,94.31,-
08-Mar-05,94.46,94.83,92.39,92.51,-
09-Mar-05,92.01,92.23,89.99,90.58,-
10-Mar-05,90.41,90.51,88.61,89.9,-
11-Mar-05,90.13,90.38,88.49,88.81,-
14-Mar-05,89.08,89.11,86.2,87.41,-
15-Mar-05,87.56,89.91,87.02,89.22,-
16-Mar-05,88.26,89.22,87.42,87.71,-
17-Mar-05,88.48,89.73,87.81,89.56,-
18-Mar-05,89.32,90.11,89.07,89.93,-
21-Mar-05,89.55,90.99,88.54,90.35,-
22-Mar-05,90.5,90.88,88.84,89.21,-
23-Mar-05,88.9,90.03,88.9,89.4,-
24-Mar-05,90.26,90.34,89.51,89.54,-
28-Mar-05,90.75,92.31,90.38,90.62,-
29-Mar-05,90.43,91.55,88.95,89.7,-
30-Mar-05,90.23,90.63,89.71,90.13,-
31-Mar-05,88.89,90.6,88.73,90.16,-
01-Apr-05,90.79,91.38,89.91,89.93,-
04-Apr-05,89.89,92.57,89.83,92.55,-
05-Apr-05,93.77,95.03,93.69,94.19,-
06-Apr-05,94.53,94.73,93.7,94.52,-
07-Apr-05,94.3,97.21,94.23,96.78,-
08-Apr-05,96.75,97.45,95.63,95.93,-
11-Apr-05,96.45,97.3,96.06,96.52,-
12-Apr-05,96.4,97.11,94.61,96.88,-
13-Apr-05,96.64,97.06,94.77,96.37,-
14-Apr-05,96.54,97.08,94.95,95.63,-
15-Apr-05,94.95,95.07,92.24,92.41,-
18-Apr-05,92.2,93.85,91.65,93.39,-
19-Apr-05,94.57,95.9,93.92,95.6,-
20-Apr-05,99.19,100.15,97.86,98.95,-
21-Apr-05,100.11,102.4,99.56,102.01,-
22-Apr-05,111.34,111.89,107.02,107.8,-
25-Apr-05,108.8,112.26,108.65,111.65,-
26-Apr-05,110,110.89,109.04,109.27,-
27-Apr-05,108.89,110.31,108.26,109.78,-
28-Apr-05,109.64,110.93,108.75,109.62,-
29-Apr-05,110.84,111.01,108.8,109.89,-
02-May-05,110.91,111.74,109.99,111.03,-
03-May-05,110.81,113.96,110.55,112.98,-
04-May-05,113.5,114.82,113.39,114.14,-
05-May-05,114.2,114.2,112.83,113.38,-
06-May-05,114.09,114.51,113.12,113.9,-
09-May-05,113.89,114.14,112.6,112.9,-
10-May-05,112.62,113.79,112.25,113.79,-
11-May-05,114.37,115.87,113.85,115.53,-
12-May-05,115.29,116,113.99,114.25,-
13-May-05,114.48,115.43,113.55,114.51,-
16-May-05,114.73,115.69,114.17,115.41,-
17-May-05,115.16,116.61,114.98,116.45,-
18-May-05,116.69,119.87,116.64,119.46,-
19-May-05,120.05,120.46,119.02,119.47,-
20-May-05,120.48,120.71,119.71,120.68,-
23-May-05,121.46,128.92,121.23,127.6,-
24-May-05,128.35,132.59,126.62,127.87,-
25-May-05,126.24,130.36,125.19,130.27,-
26-May-05,130.35,131.75,129.02,129.47,-
27-May-05,130.1,132.89,129.5,132.87,-
31-May-05,134.58,139.06,134.55,138.5,-
01-Jun-05,141.46,146.3,140.87,143.86,-
02-Jun-05,144.22,144.75,142.16,143.81,-
03-Jun-05,143.25,144.51,138.57,139.99,-
06-Jun-05,141.05,146.73,140.77,145.32,-
07-Jun-05,148.4,149.65,145,146.41,-
08-Jun-05,146.28,146.45,138.86,139.64,-
09-Jun-05,142.22,144.11,140.14,143.01,-
10-Jun-05,143.35,143.5,139.87,141.11,-
13-Jun-05,139.77,141.95,138.12,141.23,-
14-Jun-05,139.16,140.48,138.74,139.04,-
15-Jun-05,137.36,138.51,133.58,137.26,-
16-Jun-05,136.99,139.01,136.4,138.58,-
17-Jun-05,139.4,140,137.8,140,-
20-Jun-05,137.91,143.69,135.73,143.21,-
21-Jun-05,143.89,145,142.34,143.78,-
22-Jun-05,144.69,146.01,144.19,144.51,-
23-Jun-05,143.86,147.26,143.11,144.71,-
24-Jun-05,145.3,148.85,144.65,148.48,-
27-Jun-05,149.3,152.08,146.78,151.9,-
28-Jun-05,152.99,154.47,150.85,150.85,-
29-Jun-05,151.1,152.04,145.93,146.21,-
30-Jun-05,147.02,149.32,145.37,146.93,-
01-Jul-05,147.37,147.97,144.47,145.48,-
05-Jul-05,145.9,147.84,144.97,147.71,-
06-Jul-05,148.5,148.65,145.54,145.62,-
07-Jul-05,144.55,147.75,144.11,147.62,-
08-Jul-05,147.98,148.6,146.88,147.97,-
11-Jul-05,148.05,148.15,145.36,146.53,-
12-Jul-05,146.55,147.05,145.32,145.75,-
13-Jul-05,146.11,149.47,145.9,149.28,-
14-Jul-05,152.52,153.22,149.88,150.29,-
15-Jul-05,150.47,151.55,149.74,150.44,-
18-Jul-05,149.85,150.8,148.73,149.62,-
19-Jul-05,150.9,155.02,150.75,154.8,-
20-Jul-05,152.63,156.15,150.75,155.84,-
21-Jul-05,156.87,158.74,155.45,156.81,-
22-Jul-05,153.03,154.47,148.02,151.05,-
25-Jul-05,151.04,151.49,147.33,147.78,-
26-Jul-05,147.36,148.85,145.9,147.9,-
27-Jul-05,148.72,148.97,146.05,148.32,-
28-Jul-05,148.56,148.56,146.49,146.6,-
29-Jul-05,145.92,146.27,143.35,143.74,-
01-Aug-05,143.92,146.1,143.91,145.66,-
02-Aug-05,145.65,149.61,145.41,149.45,-
03-Aug-05,148.85,149.71,147.65,148.5,-
04-Aug-05,147.63,149.35,147.48,148.72,-
05-Aug-05,148.6,149.11,145.51,146.03,-
08-Aug-05,146.65,147.68,145.1,145.48,-
09-Aug-05,145.83,146.19,144.11,145.64,-
10-Aug-05,145.5,146.02,142.3,142.7,-
11-Aug-05,142.8,143.15,140.17,141.88,-
12-Aug-05,141.54,144.96,140.68,144.72,-
15-Aug-05,144.76,146.24,141.74,141.86,-
16-Aug-05,142.3,143.75,141.53,142.68,-
17-Aug-05,142.61,143.14,141.86,142.41,-
18-Aug-05,137.82,140.11,137.36,139.86,-
19-Aug-05,140.35,140.58,139.67,139.86,-
22-Aug-05,140.48,140.59,136.54,136.87,-
23-Aug-05,137.94,139.73,136.92,139.65,-
24-Aug-05,138.65,142.23,138.09,141.14,-
25-Aug-05,141.13,141.86,139.85,141.15,-
26-Aug-05,141.6,142.37,141.19,141.65,-
29-Aug-05,140.98,144.42,140.98,144.08,-
30-Aug-05,143.55,144.61,142.8,143.49,-
31-Aug-05,143.97,144.11,142.04,142.86,-
01-Sep-05,142.81,143.61,142.36,142.98,-
02-Sep-05,143.11,144.85,143.08,144.08,-
06-Sep-05,144.36,144.55,143.26,143.41,-
07-Sep-05,142.8,147.6,142.5,147.29,-
08-Sep-05,147.27,149.49,146.53,147.55,-
09-Sep-05,148.49,149.4,148.13,149.4,-
12-Sep-05,150.72,155.55,150.35,154.72,-
13-Sep-05,154.35,157.61,152.93,155.68,-
14-Sep-05,154.21,156.48,150,151.35,-
15-Sep-05,149.61,153.22,148.81,151.16,-
16-Sep-05,151.86,152.1,149.79,149.95,-
19-Sep-05,150.35,152.85,150.2,151.74,-
20-Sep-05,152.92,155.49,152.46,153.8,-
21-Sep-05,154.05,156.72,152.83,155.79,-
22-Sep-05,155.59,159.45,154.93,155.53,-
23-Sep-05,156.34,158.45,156.14,157.52,-
26-Sep-05,159.59,160.31,156.12,156.98,-
27-Sep-05,157.32,159.05,156.53,156.81,-
28-Sep-05,156.95,157.39,152.65,152.85,-
29-Sep-05,153.19,155.2,152.89,154.66,-
30-Sep-05,156.95,158.59,155.99,158.07,-
03-Oct-05,156.66,159.89,156.24,159.18,-
04-Oct-05,159.82,160.48,155.21,155.34,-
05-Oct-05,156.19,157.29,153.85,155.2,-
06-Oct-05,156.91,157.08,154.89,156.22,-
07-Oct-05,157.24,158.18,155.11,156.34,-
10-Oct-05,156.5,157.25,154.42,155.17,-
11-Oct-05,155.15,156.17,152.28,152.9,-
12-Oct-05,152.45,153.44,149.35,150.33,-
13-Oct-05,150.85,150.85,145.2,148.57,-
14-Oct-05,149.8,149.96,146.12,147.92,-
17-Oct-05,148.6,152.45,147.13,152.35,-
18-Oct-05,152.33,153.83,151.22,151.49,-
19-Oct-05,151.85,154.78,151.83,154.2,-
20-Oct-05,154.84,155.41,150.45,151.45,-
21-Oct-05,172.73,173.04,166.33,169.78,-
24-Oct-05,171.51,174.48,170.92,174.15,-
25-Oct-05,172.72,173.53,171.26,173.28,-
26-Oct-05,172.97,177.82,172.92,177.54,-
27-Oct-05,178.12,178.37,175.66,176.35,-
28-Oct-05,177.46,179.3,177.33,178.91,-
31-Oct-05,179.94,187.19,179.58,185.88,-
01-Nov-05,185.74,191.76,184.32,189.5,-
02-Nov-05,190.66,192.31,188.4,189.65,-
03-Nov-05,191.01,193.1,190.5,192.78,-
04-Nov-05,194.8,195.7,192.53,195.02,-
07-Nov-05,197.35,198.54,195.88,197.32,-
08-Nov-05,196.93,197.6,194.1,194.76,-
09-Nov-05,193.14,193.95,188.83,189.39,-
10-Nov-05,188.99,195.48,188.53,195.35,-
11-Nov-05,197.36,198.25,194.23,195,-
14-Nov-05,195.86,198.91,195.57,198.29,-
15-Nov-05,196.99,198.3,195.28,196.2,-
16-Nov-05,197.9,199.23,196.86,198.88,-
17-Nov-05,200.7,201.7,199.57,201.52,-
18-Nov-05,201.54,202.05,199.73,199.9,-
21-Nov-05,199.39,204.79,196.55,204.48,-
22-Nov-05,204.12,208.45,202.91,208.03,-
23-Nov-05,208.31,212.15,207.68,211.22,-
25-Nov-05,212.68,214.16,212.44,214.1,-
28-Nov-05,214.7,215.4,211.01,211.53,-
29-Nov-05,212.02,212.99,200.87,201.57,-
30-Nov-05,201.93,204.02,197.58,202.25,-
01-Dec-05,204.4,207.51,203.94,206.84,-
02-Dec-05,208.26,209.56,206.72,208.64,-
05-Dec-05,208.29,208.54,201.94,202.72,-
06-Dec-05,204.15,208,200.65,202.07,-
07-Dec-05,202.88,203.15,199.31,201.91,-
08-Dec-05,202.45,205.12,201.12,205.12,-
09-Dec-05,207.29,207.68,204.08,204.4,-
12-Dec-05,207.11,207.4,204.77,206.1,-
13-Dec-05,206.04,208.79,205.61,208.54,-
14-Dec-05,208.31,209.66,207.54,209.27,-
15-Dec-05,209.35,211.36,208.04,211.05,-
16-Dec-05,212.46,216.03,211.16,214.86,-
19-Dec-05,215.88,222.88,209.84,212.09,-
20-Dec-05,213.72,215.88,212.12,214.66,-
21-Dec-05,216.56,218.21,210.14,212.95,-
22-Dec-05,215.67,216.21,212.75,215.8,-
23-Dec-05,215.86,216.03,214.18,215.25,-
27-Dec-05,215.71,215.71,211.17,212.11,-
28-Dec-05,211.96,213.68,210.42,213.13,-
29-Dec-05,213.78,214.15,209.38,209.86,-
30-Dec-05,208.43,208.9,206.66,207.22,-
03-Jan-06,211.05,217.62,208.9,217.4,-
04-Jan-06,221.73,224.26,219.66,222.4,-
05-Jan-06,222.78,225.55,220.53,225.39,-
06-Jan-06,228.21,235.01,226.39,232.6,-
09-Jan-06,232.97,236.46,230.24,233.22,-
10-Jan-06,231.98,234.89,230.79,234.65,-
11-Jan-06,235.4,237.32,234.36,235.58,-
12-Jan-06,236.62,237.26,230.52,231.58,-
13-Jan-06,231.92,233.21,230.57,232.89,-
17-Jan-06,231.3,234.72,231.03,233.32,-
18-Jan-06,223.43,228.45,221.4,222.23,-
19-Jan-06,225.36,226.52,216.28,218,-
20-Jan-06,219.13,219.8,197.17,199.53,-
23-Jan-06,203.49,213.98,202.66,213.54,-
24-Jan-06,217.8,222.25,217.02,221.29,-
25-Jan-06,225.4,226.89,214.4,216.28,-
26-Jan-06,219.55,219.78,211.57,216.92,-
27-Jan-06,217.28,218.89,214.28,216.53,-
30-Jan-06,214.4,216.42,212.29,213.2,-
31-Jan-06,215.07,219.58,211.77,216.11,-
01-Feb-06,194.32,200.8,193.57,200.69,-
02-Feb-06,201.71,203.05,197.79,197.82,-
03-Feb-06,196.61,196.75,186.1,190.59,-
06-Feb-06,192.46,194.76,189.59,192.36,-
07-Feb-06,191.3,191.66,181.49,183.78,-
08-Feb-06,184.06,185.16,177.16,184.36,-
09-Feb-06,185.41,187.01,177.88,179.21,-
10-Feb-06,180.79,182.07,176.39,181.12,-
13-Feb-06,173.15,175.12,170.77,172.68,-
14-Feb-06,172.49,175.67,171.03,171.49,-
15-Feb-06,170.46,172.83,168.75,171.02,-
16-Feb-06,172.66,183.32,172.07,183.05,-
17-Feb-06,184.75,185.88,181.63,184.19,-
21-Feb-06,183.04,186.58,182.37,183.11,-
22-Feb-06,183.39,184.29,181.75,182.56,-
23-Feb-06,182.62,190.43,182.51,188.85,-
24-Feb-06,188.46,189.84,186.56,188.51,-
27-Feb-06,190.44,195.65,189.95,194.99,-
28-Feb-06,196.4,198.57,169.09,181.13,-
01-Mar-06,184.1,184.54,180.47,182.22,-
02-Mar-06,181.96,190.36,180.92,188.04,-
03-Mar-06,191.96,193.43,187.69,188.9,-
06-Mar-06,190.26,191.51,183.39,183.87,-
07-Mar-06,182.33,184.04,178.9,182.04,-
08-Mar-06,176.79,179.84,175.1,176.76,-
09-Mar-06,177.52,179.09,170.58,171.33,-
10-Mar-06,171.58,172.08,165.61,168.58,-
13-Mar-06,170.29,172.88,167.56,168.36,-
14-Mar-06,168.4,176.01,166.14,175.4,-
15-Mar-06,175.21,175.97,170.09,172.08,-
16-Mar-06,174.13,174.2,168.78,169.22,-
17-Mar-06,169.23,170.72,167.3,169.73,-
20-Mar-06,171,174.87,170.6,173.92,-
21-Mar-06,174.83,175.65,169.37,169.79,-
22-Mar-06,169.71,171.88,168.58,169.94,-
23-Mar-06,171,172.7,169.93,170.77,-
24-Mar-06,184.13,184.86,181.07,182.72,-
27-Mar-06,183.36,185.67,182.32,184.66,-
28-Mar-06,185.67,188.74,185.4,188.41,-
29-Mar-06,189.78,199.3,189.57,197.29,-
30-Mar-06,194.4,196.55,191.61,194.03,-
31-Mar-06,194.18,195.74,191.82,194.8,-
03-Apr-06,194.57,196.04,193.77,194.66,-
04-Apr-06,194.76,202.25,193.88,201.97,-
05-Apr-06,203.9,207.08,201.21,203.79,-
06-Apr-06,203.04,206.74,202.51,205.38,-
07-Apr-06,206,206.22,201.81,202.88,-
10-Apr-06,203.34,208.38,202.42,207.98,-
11-Apr-06,208,209.34,202.91,204.63,-
12-Apr-06,204.3,205.46,202.39,204.27,-
13-Apr-06,204.11,204.68,200.05,200.88,-
17-Apr-06,201.52,206.04,200.22,203.21,-
18-Apr-06,203.76,204.71,200.55,201.92,-
19-Apr-06,206.08,206.61,203.16,205.04,-
20-Apr-06,205.3,207.79,203.9,207.29,-
21-Apr-06,224.23,225.13,217.87,218.33,-
24-Apr-06,219.48,222.13,218.04,220.03,-
25-Apr-06,219.6,220.3,212.79,213.37,-
26-Apr-06,213.66,214.8,211.55,212.77,-
27-Apr-06,211.24,213.24,209.49,209.8,-
28-Apr-06,209.1,212.65,207.94,208.76,-
01-May-06,209.03,209.51,199.08,199.25,-
02-May-06,200.34,201.04,194.01,197.2,-
03-May-06,197.98,200.55,195.24,196.89,-
04-May-06,197.32,199.24,195.91,197.18,-
05-May-06,198.6,200.14,195.69,196.95,-
08-May-06,197.36,198.36,194.83,197.19,-
09-May-06,197.65,204.3,196.68,204.2,-
10-May-06,203.95,205.65,200.73,201.29,-
11-May-06,201.51,202.15,192.3,193.31,-
12-May-06,191.58,192.24,186.59,186.88,-
15-May-06,187.78,189.88,183.94,187.91,-
16-May-06,187.81,188.24,184.76,185.46,-
17-May-06,185.12,189.73,184.92,187.06,-
18-May-06,189.2,190.71,185.17,185.31,-
19-May-06,186.45,187.06,180.1,184.82,-
22-May-06,183.74,186.33,182.44,185.29,-
23-May-06,186.92,191.75,186.59,187.6,-
24-May-06,188.49,191.53,185.62,190.43,-
25-May-06,189.35,191.31,185.97,191.3,-
26-May-06,192.08,192.75,189.82,190.48,-
30-May-06,188.95,190.31,185.54,185.78,-
31-May-06,186.71,188.94,183.21,185.72,-
01-Jun-06,186.58,191.3,185.61,191.12,-
02-Jun-06,192.54,193.35,188.54,189.53,-
05-Jun-06,187.9,190.53,186.89,187.03,-
06-Jun-06,188.1,194.8,187.96,194.8,-
07-Jun-06,196.42,197.23,193.06,193.06,-
08-Jun-06,193.68,196.94,189.11,196.45,-
09-Jun-06,195.9,197.52,192.48,193.09,-
12-Jun-06,193.98,195.05,190.31,190.58,-
13-Jun-06,190.26,193.31,188.87,193.07,-
14-Jun-06,194.72,195.35,189.07,192,-
15-Jun-06,193.12,195.93,191.31,195.3,-
16-Jun-06,194.36,195.27,193.81,195.15,-
19-Jun-06,195.23,197.2,193.3,193.88,-
20-Jun-06,193.82,195.74,193.06,193.39,-
21-Jun-06,195.33,201.8,194.68,200.86,-
22-Jun-06,200.59,202.8,193.81,199.78,-
23-Jun-06,201.18,204.67,200.17,202.23,-
26-Jun-06,203.17,203.95,201.42,201.91,-
27-Jun-06,202.65,203.8,200.3,200.96,-
28-Jun-06,201.8,203.04,200.36,202.85,-
29-Jun-06,203.79,208.89,202.71,208.7,-
30-Jun-06,207.59,209.46,205.96,209.46,-
03-Jul-06,209.81,211.67,209.52,211.39,-
05-Jul-06,210.55,211.19,207.61,210.52,-
06-Jul-06,211.48,212.48,210.78,211.38,-
07-Jul-06,212.81,213.73,207.73,210.01,-
10-Jul-06,211.51,212.4,207.98,208.89,-
11-Jul-06,209.04,212.31,206.31,212.07,-
12-Jul-06,210.83,211.16,208.16,208.42,-
13-Jul-06,206.79,208.96,203.21,204.21,-
14-Jul-06,204.96,205.54,199.11,201.55,-
17-Jul-06,202.11,205.29,201.66,203.74,-
18-Jul-06,204.67,205.08,198.67,201.32,-
19-Jul-06,197.31,200.37,197.13,199.3,-
20-Jul-06,201.94,202.02,192.64,193.37,-
21-Jul-06,192.88,195.68,188.66,194.86,-
24-Jul-06,196.21,196.75,190.41,195.25,-
25-Jul-06,192.32,195.46,191.71,194.49,-
26-Jul-06,193.91,195.76,191.31,192.56,-
27-Jul-06,193.49,193.55,188.79,191.01,-
28-Jul-06,190.81,194.59,190.67,193.87,-
31-Jul-06,193.81,194.39,191.46,193.11,-
01-Aug-06,192.36,192.69,187.57,187.57,-
02-Aug-06,187.62,188.4,182.42,183.43,-
03-Aug-06,182.31,188.77,181.5,187.51,-
04-Aug-06,189.59,190.15,185.69,186.74,-
07-Aug-06,185.56,189.68,185.39,188.79,-
08-Aug-06,191.22,192.06,189.36,190.31,-
09-Aug-06,191.7,192.15,187.99,188.28,-
10-Aug-06,186.75,188.65,186.04,186.91,-
11-Aug-06,187.01,187.45,183.82,184.07,-
14-Aug-06,185.56,187.38,184.15,184.53,-
15-Aug-06,186.87,190.64,186.11,190.29,-
16-Aug-06,191.55,194.03,190.87,193.67,-
17-Aug-06,193,194.8,191.77,192.71,-
18-Aug-06,192.96,193.35,190.18,191.49,-
21-Aug-06,188.86,189.31,187.42,188.46,-
22-Aug-06,188.68,189.44,187.23,188.96,-
23-Aug-06,188.63,188.95,186.14,186.53,-
24-Aug-06,187.03,188.01,185.94,186.68,-
25-Aug-06,186.35,187.47,186.06,186.44,-
28-Aug-06,187.62,190.28,187.31,190.28,-
29-Aug-06,190.2,190.97,188.41,189.29,-
30-Aug-06,189.42,192.13,189.07,190.18,-
31-Aug-06,190.56,190.88,188.91,189.08,-
01-Sep-06,190.31,190.45,188.41,189.11,-
05-Sep-06,189.75,192.51,188.53,191.99,-
06-Sep-06,190.86,191.4,189.64,189.88,-
07-Sep-06,189.51,190.68,188.51,189.06,-
08-Sep-06,188.17,190.2,188.17,188.74,-
11-Sep-06,188.94,192.15,188.7,191.85,-
12-Sep-06,192.31,196.17,192.25,195.75,-
13-Sep-06,197.38,203.18,197.35,203.08,-
14-Sep-06,201.95,202.94,200.76,201.79,-
15-Sep-06,203.54,204.82,203.17,204.74,-
18-Sep-06,204.8,209.14,204.53,207.14,-
19-Sep-06,207.52,207.54,196.17,201.7,-
20-Sep-06,203.35,203.49,197.11,198.3,-
21-Sep-06,199.95,204.02,199.73,203.22,-
22-Sep-06,202.29,203.52,200.48,201.69,-
25-Sep-06,202.59,204.52,201.05,201.79,-
26-Sep-06,202.55,203.64,200.68,203.23,-
27-Sep-06,202.95,205.4,200.98,201.26,-
28-Sep-06,201.84,203.29,200.07,201.59,-
29-Sep-06,202.36,202.61,200.5,200.75,-
02-Oct-06,200.75,202.8,200.2,200.52,-
03-Oct-06,200.44,203.03,198.9,201.82,-
04-Oct-06,202.28,207.68,201.32,207.64,-
05-Oct-06,207.14,208.91,205.22,205.7,-
06-Oct-06,204.9,210.74,204.67,210.04,-
09-Oct-06,212.19,215.76,211.5,214.29,-
10-Oct-06,215.56,218.71,210.98,213.11,-
11-Oct-06,212.3,214.74,211.67,213.04,-
12-Oct-06,214.07,214.63,211.79,213.51,-
13-Oct-06,213.67,214.54,212.57,213.44,-
16-Oct-06,213.64,214.39,210.46,210.66,-
